feature,importance
stress_depression_diff,0.5234341637010682
Mental_Severity_Score,0.2586906138790034
stress_anxiety_diff,0.20106316725978646
Course,0.058768905693950164
Relationship_Status,0.03542927046263343
Age,0.034410809608540864
Counseling_Service_Use,0.02406650355871887
Residence_Type,0.01489679715302491
Gender,0.012098087188612073
Physical_Activity,0.011832740213523131
Diet_Quality,0.011127891459074703
Sleep_Quality,0.01030916370106762
CGPA,0.007315613879003538
Semester_Credit_Load,0.006041370106761563
Extracurricular_Involvement,0.0052898131672597945
